######################################

N = 50

numero | frecuencia       | porcentaje
--------------------------------------
20     | 1                | 0.020000
21     | 1                | 0.020000
22     | 1                | 0.020000
23     | NO GENERADO      | -
24     | NO GENERADO      | -
25     | NO GENERADO      | -
26     | NO GENERADO      | -
27     | 1                | 0.020000
28     | 1                | 0.020000
29     | 1                | 0.020000
30     | 1                | 0.020000
31     | 3                | 0.060000
32     | 1                | 0.020000
33     | 1                | 0.020000
34     | 1                | 0.020000
35     | NO GENERADO      | -
36     | 2                | 0.040000
37     | 3                | 0.060000
38     | 1                | 0.020000
39     | NO GENERADO      | -
40     | 1                | 0.020000
41     | 1                | 0.020000
42     | NO GENERADO      | -
43     | 3                | 0.060000
44     | 1                | 0.020000
45     | 1                | 0.020000
46     | NO GENERADO      | -
47     | NO GENERADO      | -
48     | 4                | 0.080000
49     | 1                | 0.020000
50     | 1                | 0.020000
51     | 2                | 0.040000
52     | NO GENERADO      | -
53     | NO GENERADO      | -
54     | 1                | 0.020000
55     | 1                | 0.020000
56     | 1                | 0.020000
57     | 4                | 0.080000
58     | NO GENERADO      | -
59     | NO GENERADO      | -
60     | 2                | 0.040000
61     | NO GENERADO      | -
62     | NO GENERADO      | -
63     | NO GENERADO      | -
64     | NO GENERADO      | -
65     | 4                | 0.080000
66     | NO GENERADO      | -
67     | 2                | 0.040000
68     | NO GENERADO      | -
69     | 1                | 0.020000

No generados: 19

Error relativo: 1.000000
La distribucion NO es uniforme

Tiempo de ejecucion: 0.000124s

######################################

N = 100

numero | frecuencia       | porcentaje
--------------------------------------
20     | 1                | 0.010000
21     | 2                | 0.020000
22     | 3                | 0.030000
23     | 2                | 0.020000
24     | 2                | 0.020000
25     | 1                | 0.010000
26     | 2                | 0.020000
27     | 5                | 0.050000
28     | NO GENERADO      | -
29     | NO GENERADO      | -
30     | 8                | 0.080000
31     | 1                | 0.010000
32     | 3                | 0.030000
33     | 2                | 0.020000
34     | 2                | 0.020000
35     | 1                | 0.010000
36     | 1                | 0.010000
37     | 2                | 0.020000
38     | 2                | 0.020000
39     | 1                | 0.010000
40     | 1                | 0.010000
41     | 3                | 0.030000
42     | 1                | 0.010000
43     | 1                | 0.010000
44     | 1                | 0.010000
45     | 2                | 0.020000
46     | NO GENERADO      | -
47     | 1                | 0.010000
48     | 1                | 0.010000
49     | 3                | 0.030000
50     | 3                | 0.030000
51     | 5                | 0.050000
52     | 1                | 0.010000
53     | 1                | 0.010000
54     | 3                | 0.030000
55     | 3                | 0.030000
56     | 3                | 0.030000
57     | 1                | 0.010000
58     | 2                | 0.020000
59     | 3                | 0.030000
60     | 2                | 0.020000
61     | 2                | 0.020000
62     | 1                | 0.010000
63     | 4                | 0.040000
64     | 2                | 0.020000
65     | 1                | 0.010000
66     | 1                | 0.010000
67     | 3                | 0.030000
68     | 1                | 0.010000
69     | 3                | 0.030000

No generados: 3

Error relativo: 1.000000
La distribucion NO es uniforme

Tiempo de ejecucion: 0.000158s

######################################

N = 1000

numero | frecuencia       | porcentaje
--------------------------------------
20     | 17               | 0.017000
21     | 17               | 0.017000
22     | 23               | 0.023000
23     | 23               | 0.023000
24     | 16               | 0.016000
25     | 22               | 0.022000
26     | 22               | 0.022000
27     | 21               | 0.021000
28     | 18               | 0.018000
29     | 21               | 0.021000
30     | 20               | 0.020000
31     | 17               | 0.017000
32     | 23               | 0.023000
33     | 18               | 0.018000
34     | 21               | 0.021000
35     | 16               | 0.016000
36     | 12               | 0.012000
37     | 28               | 0.028000
38     | 17               | 0.017000
39     | 25               | 0.025000
40     | 22               | 0.022000
41     | 22               | 0.022000
42     | 17               | 0.017000
43     | 29               | 0.029000
44     | 22               | 0.022000
45     | 21               | 0.021000
46     | 12               | 0.012000
47     | 28               | 0.028000
48     | 18               | 0.018000
49     | 25               | 0.025000
50     | 28               | 0.028000
51     | 20               | 0.020000
52     | 13               | 0.013000
53     | 19               | 0.019000
54     | 15               | 0.015000
55     | 23               | 0.023000
56     | 22               | 0.022000
57     | 23               | 0.023000
58     | 20               | 0.020000
59     | 18               | 0.018000
60     | 12               | 0.012000
61     | 17               | 0.017000
62     | 15               | 0.015000
63     | 16               | 0.016000
64     | 23               | 0.023000
65     | 29               | 0.029000
66     | 17               | 0.017000
67     | 23               | 0.023000
68     | 18               | 0.018000
69     | 16               | 0.016000

No generados: 0

Error relativo: 0.450000
La distribucion NO es uniforme

Tiempo de ejecucion: 0.000122s

######################################

N = 10'000

numero | frecuencia       | porcentaje
